GROUP_ID,ARTIFACT_ID,VERSION,LOC,USAGE_NUM,CLASS_NUM
com.github.liuchink.hcutils,hcUtils-all,1.0.1,32829,0,346
com.github.liuchink.hcutils,hcUtils-baidu,1.0.7.RELEASE,1294,0,15
com.github.liuchink.hcutils,hcUtils-date,1.0.12.RELEASE,1082,0,3
com.github.liuchink.hcutils,hcUtils-json,1.0.12.1.RELEASE,54,0,1
com.github.liuchink.hcutils,hcUtils-map,1.0.10.RELEASE,25,0,1
com.github.liuzhenghui,ecology-plugin-core,1.0.7.2,168559,0,3462
com.github.liuzhenghui,ecology-swagger,1.0.5.1,221,0,6
com.github.luues,commons-openoffice,1.0.3.RELEASE,5666,0,96
com.github.luues,spring-boot-starter-openoffice,1.3.0.5.RELEASE,5702,0,97
com.github.martinhaeusler,org.chronos.chronodb.api,1.0.0,20044,0,416
com.github.martinhaeusler,org.chronos.chronodb.exodus,1.0.0,16596,0,305
com.github.mrLawrenc,mrLawrenc-tool-spring-boot-starter,1.0.3-RELEASE,1680,0,52
com.github.psi-probe,psi-probe-core,3.2.0,19822,0,302
com.github.qinhouping,qinsoft-common,1.0.1-beta1,2030,0,56
com.github.rebue.wheel,wheel-core,1.1.0,3130,0,54
com.github.sdcxy,third-party-platform,0.0.1,3337,0,86
com.github.sdcxy,third-party-platform-wechat,0.0.2,4920,0,103
com.github.sdp-tech-nj,sdp-spring-boot-starter,2.4.7,9896,0,109
com.github.sdp-tech-nj,sesp-dev-plugins,2.1.10,5470,0,64
com.github.siwenyan,common,1.18,5778,0,98
com.github.spotbugs,sonar-findbugs-plugin,4.0.0,13133,0,191
com.github.vindell,shiro-biz,1.0.7.RELEASE,6390,0,139
com.github.yiding-he,hydrogen-dao-mate,1.0.0,2175,0,54
com.github.zhangchunsheng,amap-java-common,1.0.2,904,0,21
com.github.zhangchunsheng,amap-java-geo,1.0.1,1384,0,21
com.github.zhangchunsheng,amap-java-place,1.0.2,737,0,6
com.github.zhangchunsheng,anran-java-common,1.0.1,1183,0,20
com.github.zhangchunsheng,anran-java-dingtalk,1.0.0,356,0,7
com.github.zhangchunsheng,anran-java-energy,1.0.0,1059,0,6
com.github.zhangchunsheng,hubble-java-common,1.0.0,866,0,19
com.github.zhangchunsheng,hubble-java-region,1.0.0,2857,0,8
com.github.zhangchunsheng,mangix-java-authentication,1.0.1,2805,0,8
com.github.zhangchunsheng,mangix-java-common,1.0.1,1494,0,21
com.github.zhangchunsheng,mangix-java-perms,1.0.0,2973,0,8
com.imsweb,algorithms,2.3,10985,0,106
com.imsweb,layout,1.16,4973,0,37
com.imsweb,naaccr-xml,6.5,9491,0,93
com.imsweb,seerdata-utility,1.14,2535,0,25
com.imsweb,validation,2.12,11542,0,96
com.imsweb,x12-parser,1.5,1756,0,18
com.iussoft,iussoft-api,3.3.2,12529,0,137
com.iussoft,iussoft-cache,3.3.2,2356,0,23
com.iussoft,iussoft-client,3.3.2,23576,0,248
com.iussoft,iussoft-common-ius,3.3.2,9570,0,69
com.iussoft,iussoft-common-plugins,3.3.2,2664,0,25
com.iussoft,iussoft-common-portal,3.3.22031723,23359,0,207
com.iussoft,iussoft-component,3.3.2,3290,0,37
com.iussoft,iussoft-core,3.3.2,3168,0,30
com.iussoft,iussoft-info,3.3.2,5107,0,57
com.iussoft,iussoft-log,3.3.2,2166,0,29
com.iussoft,iussoft-rpc-core,3.3.2,3183,0,34
com.iussoft,iussoft-sso,3.3.2,7781,0,73
com.iussoft,iussoft-task,3.3.2,1046,0,9
com.iussoft,iussoft-uct,3.3.2,11871,0,89
com.naspat,wx-tools-common,0.0.7,4843,0,109
com.naspat,wx-tools-cp,0.1.0,6420,0,88
com.naspat,wx-tools-ma,0.1.0,8618,0,132
com.naspat,wx-tools-mp,0.0.8,27601,0,349
com.naspat,wx-tools-open,0.0.8,4996,0,65
com.naspat,wx-tools-pay,0.1.0,18718,0,151
com.redislabs,riot,1.8.12,9171,0,164
com.sangupta,jerry-core,3.0.1,9933,0,108
com.souher,fastapi,1.2.12,1526790,0,18418
com.swiftmq,swiftmq-client,12.0.2,149380,0,1984
com.teamscale,teamscale-commons,6.4.2,10453,0,146
com.thankjava.toolkit3d,fast-toolkit3d,1.1.4,3457,0,53
com.thoughtworks.xstream,xstream-benchmark,1.4.11.1,2443,0,253
com.thoughtworks.xstream,xstream-hibernate,1.4.11.1,210,0,7
com.thoughtworks.xstream,xstream-jmh,1.4.11.1,23031,0,75
com.tmsps,ne4weixin,1.6,6414,0,134
com.tukeof.common,common-rest,0.1.0-RC0,1269,0,23
com.weicoder,core,1.1.0,126,0,4
com.weicoder,outdated,2.5.0,1789,0,35
com.weicoder,xml,3.0.3,948,0,21
com.xceptance,xlt,5.0.1,146667,0,2303
com.xyzla,xyzla-common,1.1.12,2497,0,48
com.yioks.core,springboot-common,v1.2.3,7895,0,113
de.alpharogroup,email-tails,5.0.2,1002,0,12
de.alpharogroup,xml-extensions,7,1898,0,36
de.digitalcollections.model,dc-model-xml,4.0.1,209,0,5
de.sciss,weblaf-core,2.2.0,24560,0,347
dev.chromie,chromie-xml-xstream-serializer,1.0.0,31,0,1
eu.mihosoft.vrl.workflow,vworkflows-core,0.2.5.0,6354,0,73
im.shs,tick-wechat-common,3.0.0.0,7443,0,147
io.github.assimbly,docconverter,1.1.0,251,0,1
io.github.fvarrui,gradle-launch4j,2.4.6,3487,0,40
io.github.gamercatorg,CatUtils,1.4.1,169,0,6
io.github.jast90,zhangtool-pay,1.0,7408,0,137
io.jmad,aloha,0.14.0,18706,0,482
io.jmad,jmad-core,0.7.8,19266,0,434
io.quarkus,quarkus-junit5,1.6.0.Final,1063,0,31
net.jkcode,jkutil,1.9.0,23603,0,635
net.ripe.rpki,rpki-commons,1.12.0,11426,0,225
net.unit8.waitt.feature,waitt-admin,1.3.0-beta1,347,0,9
net.ymate.framework,ymate-framework-commons,2.0.8,2879,0,47
net.ymate.starter,ymate-starter-framework,1.0.2,0,0,0
no.mnemonic.messaging,requestsink-jms,1.2.4,2679,0,37
org.apache.brooklyn,brooklyn-core,1.0.0,88496,0,1687
org.bonitasoft.engine,bonita-client,7.11.0,927,0,17
org.craftercms,crafter-core,3.0.26,6999,0,168
org.craftercms,crafter-profile-client,3.1.1,830,0,13
org.cyclonedx,cyclonedx-core-java,2.6.4,1976,0,32
org.dreamcat,common-hc,0.0.1.210127,1613,0,28
org.drools,drools-beliefs,7.29.0.Final,2985,0,57
org.drools,drools-examples,7.33.0.Final,10279,0,322
org.drools,drools-scenario-simulation-api,7.28.0.Final,1025,0,18
org.drools,drools-scenario-simulation-backend,7.28.0.Final,3052,0,50
org.drools,drools-traits,7.43.0.Final,10820,0,118
org.drools,drools-wb-guided-dtable-editor-backend,7.24.0.Final,1182,0,14
org.drools,drools-wb-scenario-simulation-editor-api,7.24.0.Final,368,0,11
org.drools,drools-wb-scenario-simulation-editor-backend,7.24.0.Final,1048,0,19
org.drools,kie-pmml,7.24.0.Final,26644,0,342
org.easybatch,easybatch-xstream,5.3.0,53,0,2
org.fuin,units4j,0.8.4,2665,0,57
org.gjgr.pig,pig-chivalrous-language,0.0.1.20200202G,0,0,0
org.ikasan,ikasan-builder,3.0.1,6070,0,86
org.ikasan,ikasan-filetransfer-common,3.1.0-beta,2737,0,43
org.infinispan,infinispan-server-core,10.1.4.Final,4452,0,97
org.javalite,javalite-async,2.4-j8,1147,0,13
org.jbpm,jbpm-audit,7.29.0.Final,4458,0,58
org.jbpm,jbpm-case-mgmt-impl,7.45.0.Final,7306,0,76
org.jbpm,jbpm-human-task-audit,7.38.0.Final,5117,0,65
org.jbpm,jbpm-kie-services,7.24.0.Final,11914,0,131
org.jbpm,jbpm-task-assigning-core,7.32.0.Final,812,0,19
org.jbpm,jbpm-wb-integration-backend,7.44.0.Final,1907,0,21
org.jeasy,easy-batch-xstream,6.1.0,53,0,2
org.kie,kie-dmn-api,7.39.0.CR1,701,0,51
org.kie,kie-dmn-backend,7.36.1.Final,11538,0,188
org.kie.kogito,drools-compiler,0.11.0,97108,0,770
org.kie.server,kie-server-api,7.45.0.t20201014,18029,0,304
org.kie.soup,kie-soup-commons,7.24.0.Final,480,0,19
org.magicwerk.brownies,brownies-xstream,0.9.2,158,0,3
org.neo4j.build.plugins,licensing-maven-plugin,1.7.8,1627,0,14
org.nhind,direct-policy,7.0,3508,0,107
org.optaplanner,optaplanner-examples,7.33.0.Final,43487,0,668
org.patterntesting,patterntesting-rt,2.0.1,11982,0,199
org.powertac,common,1.7.0,8040,0,110
org.smooks,smooks-all,2.0.0-M1,25018,0,475
org.smooks,smooks-core,2.0.0-M1,19961,0,350
org.springframework,spring-oxm,5.1.20.RELEASE,2812,0,41
org.springframework.batch,spring-batch-core,3.0.10.RELEASE,24644,0,482
org.thlws,payment-wechat,1.0.4,4749,0,41
org.uberfire,uberfire-m2repo-editor-backend,7.42.0.Final,2282,0,26
org.uberfire,uberfire-project-backend,7.36.0.Final,2865,0,38
org.uberfire,uberfire-services-backend,7.35.0.Final,2720,0,79
org.uberfire,uberfire-structure-backend,7.33.0.Final,4856,0,61
org.uberfire,uberfire-widgets-service-backend,7.38.0.Final,73,0,1
org.uberfire,uberfire-wires-bpmn-backend,2.21.0.Final,258,0,8
org.wicketstuff,jqplot4java,8.2.0,6072,0,85
org.wicketstuff,wicketstuff-dashboard-core,8.5.0,1584,0,55
org.wso2.org.apache.shindig,shindig-common,2.5.2-wso2v15,10265,0,224
org.wso2.org.apache.shindig,shindig-social-api,2.5.2-wso2v15,9968,0,155
org.y-op,orm,0.9.0,7525,0,144
ro.pippo,pippo-xstream,1.12.0,47,0,2
store.jesframework,jes-core,1.1.0,4091,0,99
tech.mhuang,interchan-wechat-common,1.4.1,2600,0,40
com.thoughtworks.xstream,xstream,1.4.11.1,24092,0,480
ai.active,webhook-sdk,1.0.1,2660,0,48
at.favre.lib,id-mask,0.4.0,1632,0,54
at.grahsl.kafka.connect,kafka-connect-mongodb,1.3.0,2986,0,83
at.porscheinformatik.zanata,zanata-spring,1.3.0.RELEASE,212,0,7
be.cloudway,gramba-easy-reflection,0.0.3,930,0,20
be.cloudway,gramba-native-image,0.0.3,701,0,10
be.dnsbelgium,rdap-core,2.0.6,3015,0,107
be.dnsbelgium,rdap-server,2.0.6,1034,0,29
be.wegenenverkeer,rxhttpclient-java,1.2.0,2627,0,49
be.wegenenverkeer,rxhttpclient-scala_2.12,1.2.0,163,0,8
be.yildiz-games,module-messaging-activemq,1.0.5,81,0,2
black.door,hate,v1r4t2,727,0,12
br.com.anteros,Anteros-NoSql-Persistence-Serialization,1.0.3,768,0,15
br.com.anteros,Anteros-NoSql-Spring-Web,1.0.2,836,0,10
br.com.anteros,Anteros-Payment-Api,1.0.0,5025,0,91
br.com.anteros,Anteros-Persistence-Serialization,1.0.9,737,0,15
br.com.anteros,Anteros-Security-Store-SQL,1.0.5,3846,0,48
br.com.anteros,Anteros-Spring-Web,2.0.5,864,0,12
br.com.esign,google-geocode,2.0.1,543,0,10
br.com.ingenieux,beanstalker-common,1.5.2,704,0,13
br.com.neppo.jlibs,message-bundler,0.0.1,160,0,2
br.com.neppo.jlibs,rest-consumer-base,0.0.1,129,0,3
br.com.neppo.jlibs,utilities,0.0.1,742,0,17
ca.derekcormier.recipe,recipe-generator,0.3.7,1760,0,45
ca.derekcormier.recipe,recipe-java-runtime,0.3.7,626,0,11
ca.pjer,hydra-client-resttemplate,1.0.1-beta.9-8555973,6344,0,82
ca.pjer,ocm,0.1.1,83,0,1
ca.pjer,parseclient,1.1.1,2463,0,75
ca.vanzyl,docker-client,8.16.1,30942,0,619
capital.scalable,spring-auto-restdocs-core,2.0.5,3399,0,64
capital.scalable,spring-auto-restdocs-json-doclet,2.0.5,172,0,6
capital.scalable,spring-auto-restdocs-json-doclet-jdk9,2.0.5,301,0,9
cc.mashroom,mashroom-util,v1.0.0,571,0,22
ch.cern.hadoop,hadoop-azure,3.2.1,16778,0,242
ch.cern.hadoop,hadoop-common,3.2.1,154874,0,2302
ch.cern.hadoop,hadoop-hdfs,3.2.1,243479,0,2298
ch.cern.hadoop,hadoop-hdfs-client,3.2.1,235939,0,2099
ch.cern.hadoop,hadoop-hdfs-rbf,3.2.1,40138,0,405
ch.cern.hadoop,hadoop-kms,3.2.1,2403,0,46
ch.cern.hadoop,hadoop-mapreduce-client-app,3.2.1,18877,0,311
ch.cern.hadoop,hadoop-mapreduce-client-core,3.2.1,61632,0,907
ch.cern.hadoop,hadoop-maven-plugins,3.2.1,1339,0,20
ch.cern.hadoop,hadoop-openstack,3.2.1,4412,0,70
ch.cern.hadoop,hadoop-rumen,3.2.1,9379,0,200
ch.cern.hadoop,hadoop-sls,3.2.1,5761,0,78
ch.cern.hadoop,hadoop-yarn-common,3.2.1,107602,0,1156
ch.cern.hadoop,hadoop-yarn-registry,3.2.1,5853,0,108
ch.cern.hadoop,hadoop-yarn-server-timeline-pluginstorage,3.2.1,1603,0,19
ch.cern.hadoop,hadoop-yarn-server-timelineservice,3.2.1,6358,0,113
ch.epfl.lamp,dotty-language-server_0.13,0.13.0-RC1,4638,0,36
ch.epfl.lamp,dotty-language-server_0.14,0.14.0-bin-20190227-c1c1db7-NIGHTLY,4609,0,36
ch.epfl.lamp,dotty-language-server_0.15,0.15.0-bin-20190420-d39bca0-NIGHTLY,4561,0,36
ch.epfl.lamp,dotty-language-server_0.16,0.16.0-bin-20190606-c46553a-NIGHTLY,4624,0,36
ch.epfl.lamp,dotty-language-server_0.17,0.17.0-bin-20190619-0a67182-NIGHTLY,4624,0,36
ch.epfl.lamp,dotty-language-server_0.18,0.18.1-bin-20190825-0d0c006-NIGHTLY,4607,0,36
ch.epfl.lamp,dotty-language-server_0.19,0.19.1-bin-20190902-dc88e01-NIGHTLY,4605,0,36
ch.epfl.lamp,dotty-language-server_0.20,0.20.0-bin-20190929-f168498-NIGHTLY,4580,0,36
ch.epfl.lamp,dotty-language-server_0.21,0.21.0,4574,0,36
ch.epfl.lamp,dotty-language-server_0.22,0.22.0-bin-20191218-35fbb34-NIGHTLY,4574,0,36
ch.epfl.lamp,dotty-language-server_0.23,0.23.0-bin-20200220-228e593-NIGHTLY,4570,0,36
ch.epfl.lamp,dotty-language-server_0.24,0.24.0-bin-20200318-7a4f8ad-NIGHTLY,4570,0,36
ch.epfl.lamp,dotty-language-server_0.25,0.25.0,4511,0,36
ch.epfl.lamp,dotty-language-server_0.26,0.26.0-bin-20200616-348e9db-NIGHTLY,4511,0,36
ch.epfl.lamp,dotty-language-server_0.27,0.27.0-bin-20200728-63b84cb-NIGHTLY,4539,0,36
ch.epfl.lamp,dotty-language-server_0.28,0.28.0-bin-20200925-f4528ce-NIGHTLY,4510,0,36
ch.squaredesk.nova,metrics-serialization,7.0.1,93,0,2
chat.tamtam,tamtam-bot-api,0.1.7,6463,0,149
city.smartb.ssm,ssm-sdk-client,0.0.0,1496,0,39
city.smartb.ssm,ssm-sdk-client-spring,0.0.0,175,0,5
cloud.rio,amazonas,0.1.0,0,0,19
cn.ciphermagic,spring-tools,1.0.1,3141,0,17
cn.com.jeeweb,jeeweb-common,0.0.4,2284,0,32
cn.com.jeeweb,wanmo-common,0.0.2,2284,0,32
cn.dev8,ktext,0.0.2,10961,0,105
cn.dev8,ktmyoql,0.0.2,18235,0,160
cn.easyutil,easyproject-service,1.0.5,2706,0,16
cn.easyutil,easyproject-web,1.0.18,1002,0,21
cn.eppdev.jee,eppdev-jee-basic,0.1.4,2373,0,66
cn.geminis,geminis-core,1.1,1483,0,23
cn.home1,logback-test-config,3.0.0,0,0,0
cn.home1.log-config,logback-test-config,3.0.2,0,0,0
cn.imaq,autumn-rest,2019.06,1839,0,56
cn.imaq,autumn-rpc-client,2019.06,318,0,11
cn.imaq,autumn-rpc-core,2020.10,575,0,12
cn.rongcloud.im,server-sdk-java,3.0.2,7511,0,137
cn.springcloud.gray,spring-cloud-gray-client,B.0.0.1,6023,0,175
cn.springcloud.gray,spring-cloud-gray-code-component,B.1.0.0-RC1,80,0,1
cn.springcloud.gray,spring-cloud-gray-core,B.1.0.0-RC2,1317,0,27
cn.springcloud.gray,spring-cloud-gray-event,B.1.0.1,1507,0,42
cn.springcloud.gray,spring-cloud-gray-mock,B.1.0.1,399,0,17
cn.springcloud.gray,spring-cloud-gray-plugin-event-longpolling,B.1.0.1,457,0,8
cn.springcloud.gray,spring-cloud-gray-utils,B.1.0.1,1719,0,40
cn.vertxup,vertx-co,0.4.9,9310,0,255
cn.willingxyz.restdoc,RestDocCore,0.1.0,1993,0,42
cn.willingxyz.restdoc,RestDocSpring,0.1.0,522,0,13
cn.willingxyz.restdoc,RestDocSpringSwagger3,0.1.0,264,0,6
cn.willingxyz.restdoc,RestDocSpringSwagger3Examples,0.1.0,836,0,18
cn.wizzer.app,wk-nb-web-api,5.2.3,739,0,16
cn.yioks.gitlab.core,springboot-common,v1.1.10,7471,0,98
co.mercenary-creators,mercenary-creators-core-kotlin,1.0.0-RELEASE,12940,0,190
co.navdeep,kafkaer,1.4,450696,0,6211
com.4dconcept.springframework.data,spring-data-marklogic,2.0.2.RELEASE,4422,0,78
com.abiquo,api-java-client,4.7.7,4515,0,97
com.abiquo,api-java-stream-client,5.0.2,506,0,7
com.abiquo,api-model-transport,5.2.0,30529,0,490
com.abiquo,commons-plugin-model,5.1.0,2060,0,45
com.acgist,snail,1.0.0,12248,0,180
com.acyumi,acyumi-core,1.0.0,2963,0,19
com.adobe.documentcloud,dc-services-sdk,0.5.0,4197,0,97
com.adobe.ride,ride-config-util,1.0.4,669,0,15
